id,empreendimento,apartamento,bairro,torre,andar,area,quartos,vagas,suite,varanda_m2,cobertura,vista,orientacao,posicao,padrao_score,lazer_score,localizacao_score,fase_obra,meses_lancamento,desconto_pct,preco_m2,origem
"1","NOVO-01","0101","Centro-Sul","T1","1","128","4","2","2","8.9","0","rua","S","frente","5","5","5","pronto","11","2.4","29727","hibrida_calibrada"
"2","NOVO-01","0102","Centro-Sul","T1","1","145","4","2","2","9.6","0","rua","O","frente","5","5","5","pronto","5","1.5","30295","hibrida_calibrada"
"3","NOVO-01","0201","Centro-Sul","T1","2","143","4","2","2","9.7","0","rua","O","frente","5","5","5","pronto","11","5.6","28452","hibrida_calibrada"
"4","NOVO-01","0202","Centro-Sul","T1","2","143","4","2","2","9.4","0","rua","N","frente","5","5","5","pronto","17","3.9","26250","hibrida_calibrada"
"5","NOVO-01","0301","Centro-Sul","T1","3","129","4","2","2","15.2","0","parque","N","frente","5","5","5","pronto","24","3.3","42220","hibrida_calibrada"
"6","NOVO-01","0302","Centro-Sul","T1","3","123","3","2","2","13.7","0","rua","L","frente","5","5","5","pronto","17","3.2","31177","hibrida_calibrada"
"7","NOVO-01","0401","Centro-Sul","T1","4","128","4","2","2","12.6","0","parque","L","frente","5","5","5","pronto","6","5","30267","hibrida_calibrada"
"8","NOVO-01","0402","Centro-Sul","T1","4","108","3","2","2","10.1","0","rua","S","frente","5","5","5","pronto","4","5.6","37075","hibrida_calibrada"
"9","NOVO-01","0501","Centro-Sul","T1","5","130","4","2","2","8.4","0","parque","S","frente","5","5","5","pronto","7","3.9","45023","hibrida_calibrada"
"10","NOVO-01","0502","Centro-Sul","T1","5","133","4","2","2","9.9","0","rua","O","frente","5","5","5","pronto","18","1.6","31172","hibrida_calibrada"
"11","NOVO-01","0601","Centro-Sul","T1","6","145","4","2","2","10","0","rua","O","frente","5","5","5","pronto","6","3.7","26760","hibrida_calibrada"
"12","NOVO-01","0602","Centro-Sul","T1","6","144","4","2","2","9.9","0","parque","N","frente","5","5","5","pronto","15","2.2","34644","hibrida_calibrada"
"13","NOVO-01","0701","Centro-Sul","T1","7","156","4","3","2","15.1","0","parque","N","frente","5","5","5","pronto","7","5.7","41228","hibrida_calibrada"
"14","NOVO-01","0702","Centro-Sul","T1","7","130","4","2","2","13.4","0","rua","L","frente","5","5","5","pronto","9","2.4","37676","hibrida_calibrada"
